support,itemset,GROUP_1,GROUP_2,HealthInsuranceCoverageRecode,HealthInsuranceCoverageRecode_group1,HealthInsuranceCoverageRecode_group2,HealthInsuranceCoverageRecode_div,length,support_count,condition
0.5025,"frozenset({'RelatedChild=no', 'Sex=Man', 'WithADisability=no'})",18673,25125,0.8286169154228856,0.7964976168799871,0.8286169154228856,0.03211929854289852,3,25125.0,True
0.50206,"frozenset({'Sex=Man', 'CitizenshipStatus=Born in the U.S.', 'Nativity=yes'})",16092,25103,0.8715292992869378,0.8401690280884911,0.8715292992869378,0.03136027119844664,3,25103.0,True
0.50206,"frozenset({'Sex=Man', 'CitizenshipStatus=Born in the U.S.'})",16092,25103,0.8715292992869378,0.8401690280884911,0.8715292992869378,0.03136027119844664,2,25103.0,True
0.47774,frozenset({'MaritalStatus=Married'}),14356,23887,0.8824465190270858,0.8385344106993592,0.8824465190270858,0.04391210832772663,1,23887.0,True
0.47256,"frozenset({'RelatedChild=no', 'MaritalStatus=Married'})",14188,23628,0.8858134416793635,0.8429658866647871,0.8858134416793635,0.04284755501457638,2,23628.0,True
0.4602,"frozenset({'RelatedChild=no', 'RaceEthnicity=White alone', 'Nativity=yes', 'WithADisability=no'})",13308,23010,0.8912212081703608,0.8552750225428314,0.8912212081703608,0.03594618562752938,4,23010.0,True
0.4517,"frozenset({'RelatedChild=no', 'WithADisability=no', 'RaceEthnicity=White alone', 'Nativity=yes', 'CitizenshipStatus=Born in the U.S.'})",13070,22585,0.8925392959929157,0.857230298393267,0.8925392959929157,0.03530899759964867,5,22585.0,True
0.4517,"frozenset({'RelatedChild=no', 'RaceEthnicity=White alone', 'CitizenshipStatus=Born in the U.S.', 'WithADisability=no'})",13070,22585,0.8925392959929157,0.857230298393267,0.8925392959929157,0.03530899759964867,4,22585.0,True
0.44674,"frozenset({'Sex=Man', 'Nativity=yes', 'WithADisability=no'})",14497,22337,0.8674396740833594,0.836586880044147,0.8674396740833594,0.030852794039212372,3,22337.0,True
0.44378,"frozenset({'Sex=Man', 'RaceEthnicity=White alone', 'WithADisability=no'})",15392,22189,0.8377574473838388,0.7982068607068608,0.8377574473838388,0.03955058667697808,3,22189.0,True
0.4436,"frozenset({'RelatedChild=no', 'Sex=Man', 'RaceEthnicity=White alone'})",16273,22180,0.8484670874661857,0.8162600626805138,0.8484670874661857,0.032207024785671945,3,22180.0,True
0.43698,"frozenset({'Sex=Man', 'CitizenshipStatus=Born in the U.S.', 'Nativity=yes', 'WithADisability=no'})",14188,21849,0.868643873861504,0.838173104031576,0.868643873861504,0.030470769829928024,4,21849.0,True
0.43698,"frozenset({'Sex=Man', 'CitizenshipStatus=Born in the U.S.', 'WithADisability=no'})",14188,21849,0.868643873861504,0.838173104031576,0.868643873861504,0.030470769829928024,3,21849.0,True
0.43086,"frozenset({'RelatedChild=no', 'Sex=Man', 'Nativity=yes'})",15223,21543,0.8807965464419997,0.8577152992182882,0.8807965464419997,0.02308124722371152,3,21543.0,True
0.42464,"frozenset({'Sex=Man', 'Nativity=yes', 'RaceEthnicity=White alone'})",13918,21232,0.87956857573474,0.8496191981606552,0.87956857573474,0.02994937757408478,3,21232.0,True
0.42432,"frozenset({'WithADisability=no', 'MaritalStatus=Married'})",13011,21216,0.8760840874811463,0.832526323879794,0.8760840874811463,0.04355776360135233,2,21216.0,True
0.42096,"frozenset({'RelatedChild=no', 'Sex=Man', 'CitizenshipStatus=Born in the U.S.'})",14878,21048,0.8823641201064234,0.8596585562575615,0.8823641201064234,0.02270556384886191,3,21048.0,True
0.42096,"frozenset({'RelatedChild=no', 'Sex=Man', 'CitizenshipStatus=Born in the U.S.', 'Nativity=yes'})",14878,21048,0.8823641201064234,0.8596585562575615,0.8823641201064234,0.02270556384886191,4,21048.0,True
